source_team_name,team_id
Bath,bath_rugby
Bath Rugby,bath_rugby
Bristol,bristol_bears
Bristol Rugby,bristol_bears
Bristol Bears,bristol_bears
Exeter Chiefs,exeter_chiefs
Gloucester,gloucester_rugby
Gloucester Rugby,gloucester_rugby
Harlequins,harlequins
Harlequin FC,harlequins
Leicester,leicester_tigers
Leicester Tigers,leicester_tigers
Newcastle,newcastle_falcons
Newcastle Falcons,newcastle_falcons
Newcastle Red Bulls,newcastle_falcons
Northampton,northampton_saints
Northampton Saints,northampton_saints
Sale,sale_sharks
Sale Sharks,sale_sharks
Saracens,saracens
